Timestamp(ms),Current(uA),D0-D7
9040,759.162,00000000
9050,756.476,00000000
9060,759.807,00000000
9070,757.693,00000000
9080,760.359,00000000
9090,757.219,00000000
9100,759.980,00000000
9110,758.301,00000000
9120,762.482,00000000
9130,761.142,00000000
9140,766.279,00000000
9150,763.731,00000000
9160,768.929,00000000
9170,766.013,00000000
9180,769.088,00000000
9190,765.181,00000000
9200,767.570,00000000
9210,763.490,00000000
9220,764.864,00000000
9230,761.722,00000000
9240,764.196,00000000
9250,760.419,00000000
9260,762.450,00000000
9270,759.202,00000000
9280,762.260,00000000
9290,759.716,00000000
9300,762.632,00000000
9310,759.579,00000000
9320,762.252,00000000
9330,758.818,00000000
9340,761.015,00000000
9350,758.464,00000000
9360,760.485,00000000
9370,758.015,00000000
9380,759.129,00000000
9390,757.268,00000000
9400,759.561,00000000
9410,756.807,00000000
9420,758.568,00000000
9430,755.900,00000000
9440,757.930,00000000
9450,756.168,00000000
9460,757.923,00000000
9470,755.570,00000000
9480,757.285,00000000
9490,755.599,00000000
9500,757.465,00000000
9510,756.068,00000000
9520,757.946,00000000
9530,755.995,00000000
9540,758.613,00000000
9550,757.357,00000000
9560,759.287,00000000
9570,757.164,00000000
9580,758.008,00000000
9590,756.330,00000000
9600,758.115,00000000
9610,756.272,00000000
9620,758.096,00000000
9630,756.060,00000000
9640,756.610,00000000
9650,755.438,00000000
9660,757.081,00000000
9670,755.904,00000000
9680,756.836,00000000
9690,755.377,00000000
9700,757.229,00000000
9710,754.365,00000000
9720,756.184,00000000
9730,754.002,00000000
9740,755.878,00000000
9750,755.565,00000000
9760,757.578,00000000
9770,755.246,00000000
9780,756.561,00000000
9790,755.888,00000000
9800,757.445,00000000
9810,756.485,00000000
9820,757.470,00000000
9830,755.760,00000000
9840,757.050,00000000
9850,755.586,00000000
9860,757.657,00000000
9870,756.161,00000000
9880,757.661,00000000
9890,755.973,00000000
9900,757.036,00000000
9910,755.751,00000000
9920,757.023,00000000
9930,755.963,00000000
9940,757.428,00000000
9950,756.034,00000000
9960,757.601,00000000
9970,756.486,00000000
9980,757.681,00000000
9990,756.183,00000000
10000,757.650,00000000
